Город,Координаты,Население,Северинец,Губаревич,Козлов,Янукевич,Ковалькова,Недействительные
Городок,55.462472 29.986406,12332,3,4,0,1,0,0
Витебск,55.1940563 30.1248549,378459,66,15,15,4,0,1
Новополоцк, 55.5251806 28.5758016, 101596, 37, 26, 3, 2, 0, 0
Миоры, 55.6236257 27.5999608, 7896, 11, 0, 4, 0, 2, 1
Шарковщина, 55.3667365 27.4530252, 6424, 15, 1, 0, 0, 1, 0
Поставы, 55.1139297 26.8201017, 19903, 18, 4, 2, 0, 0, 1
Лепель, 54.8901283 28.6649007, 17828, 16, 6, 5, 1, 2, 0
Берёза, 52.5361053 24.9445781, 29441, 35, 8, 4, 2, 0, 0
Брест, 52.0880842 23.6328487, 350116, 63, 34, 4, 1, 14, 0
Дрогичин, 52.1935115 25.1212511, 14910, 13, 24, 1, 0, 0, 0 
Пинск, 52.130138 26.032872, 137961, 45, 48, 4, 3, 0, 1
Столин, 51.8930091 26.8162899, 13460, 17, 31, 5, 0, 1, 0
Барановичи, 53.1271998 25.9668922, 179000, -, 47, 14, 0, 8, 5
